Day,Meal,Name,Calories,Protein,Carbs,Sugar,TotalFat,Filter
,EveryDay,Loaded Baked Potato Soup with Bacon,170,6,9,2,12,
,EveryDay,Vegetable Beef Barley Soup,110,8,15,2,2,V
,EveryDay,"Crackers, Saltine, 2 CT, Zesta",25,0.5,4,0,0,
,EveryDay,Sliced Pepperoni,140,5,0,0,13,
,EveryDay,Multigrain Bread,280,8,52,8,4,VG
,EveryDay,"10"" Whole Wheat Flour Tortilla",210,5,34,3,6,VG
,EveryDay,"10"" Flour Tortilla",200,6,34,1,6,VG
,EveryDay,"12"" Spinach Herb Tortilla",290,8,47,0,8,VG/PR
,EveryDay,Udi's White Bread,300,4,48,6,10,V/AG
,EveryDay,Udi's Hamburger Bun,240,6,44,6,7,V/AG
,EveryDay,Thinly Sliced Deli Turkey Breast,90,11,3,0.5,3.5,AG
,EveryDay,Thinly Sliced Smoked Ham,110,15,1,1,4.5,
,EveryDay,Sliced Genoa Salami,190,12,1,0.5,15,AG
,EveryDay,Thinly Sliced Chicken,90,13,0,0,4.5,AG/PR
,EveryDay,Classic Hummus,50,2,6,1,1.5,VG/AG/PR
,EveryDay,Cheddar Cheese Slice,60,3,0,0,4.5,V/AG
,EveryDay,Sliced Pepper Jack Cheese,110,7,0,0,9,V/AG
,EveryDay,Sliced Provolone Cheese,100,7,0.5,0,8,VG/AG/PR
,EveryDay,Shredded Iceberg Lettuce,5,0,1,0.5,0,VG/AG
,EveryDay,Baby Spinach,0,0,0,0,0,VG/AG
,EveryDay,Dill Pickle Slices,0,0,0,0,0,VG
,EveryDay,Sliced Jalapeno Pepper,0,0,0.5,0,0,VG/AG
,EveryDay,Banana Pepper Rings,0,0,0,0,0,VG/AG
,EveryDay,Sliced Tomatoes,0,0,1,0.5,0,VG/AG
,EveryDay,Sliced Red Onion,5,0,1,0.5,0,VG/AG
,EveryDay,Mayonnaise,90,0,0,0,10,V
,EveryDay,Ranch Dressing,140,0,1,1,15,V/AG
,EveryDay,Chipotle Mayo,60,0,1,0,6,V
,EveryDay,Buffalo Wing Sauce,5,0,0.5,0,0,VG/AG
,EveryDay,Balsamic Vinaigrette Dressing,60,0,5,4,4.5,VG/AG
,EveryDay,House Fried Potato Chips,90,0,5,0,8,
,EveryDay,Franks Red Hot Seasoning,0,0,0,0,0,VG
,EveryDay,Everything Bagel Spice,10,0,0.5,0,1,VG/AG
,EveryDay,Chopped Iceberg Lettuce,10,0.5,2,1,0,VG/AG
,EveryDay,Romaine Blend,10,0.5,1,0.5,0,VG/AG
,EveryDay,Spring Mix,5,0.5,1,0.5,0,VG/AG
,EveryDay,Blanched Broccoli,10,0.5,2,0.5,0,VG/AG
,EveryDay,Roasted Cauliflower,15,0.5,1,0.5,1,VG/AG
,EveryDay,Sliced Cucumber,0,0,1,0,0,VG/AG
,EveryDay,Cherry Tomatoes,5,0,1,0.5,0,VG/AG
,EveryDay,Baby Carrots,15,0,4,2,0,VG/AG
,EveryDay,Shredded Carrots,10,0,3,1,0,VG/AG
,EveryDay,Sliced Black Olives,40,0,2,0,4,VG/AG
,EveryDay,Chopped Hard Boiled Eggs,50,4,0,0,3.5,V/AG
